#;Datum;Uhrzeit;Mannschaft 1;Mannschaft 2;Gastgeber;Austragungsort;Ergebnis;Satzpunkte;Ballpunkte;Satz 1 - Ballpunkte 1;Satz 1 - Ballpunkte 2;Satz 2 - Ballpunkte 1;Satz 2 - Ballpunkte 2;Satz 3 - Ballpunkte 1;Satz 3 - Ballpunkte 2;Satz 4 - Ballpunkte 1;Satz 4 - Ballpunkte 2;Satz 5 - Ballpunkte 1;Satz 5 - Ballpunkte 2;Zuschauerzahl
2005;12.10.2025;16:00:00;USC Münster;SSC Palmberg Schwerin;USC Münster;Sporthalle Berg Fidel (48153 Münster);3:2 / 106:106 (20:25 25:22 21:25 25:21 15:13);3:2;106:106;20;25;25;22;21;25;25;21;15;13;2124
2011;15.10.2025;19:30:00;Binder Blaubären TSV Flacht;USC Münster;Binder Blaubären TSV Flacht;Heckengäusporthalle II (71287 Weissach);0:3 / 49:75 (14:25 15:25 20:25);0:3;49:75;14;25;15;25;20;25;;;;;433
